id,plant,replicate,length
644,726,6,20774.745
645,726,7,21299.884
646,727,1,29164.621
647,727,2,26343.858
648,727,3,26899.893
649,728,1,19333.581
650,728,2,19468.097
651,728,3,20227.574
652,729,1,23619.599
653,729,2,23744.452
654,729,3,22070.379
655,730,1,14268.14
656,730,2,15505.67
657,730,3,15077.074
658,731,1,20683.802
659,731,2,21756.381
660,731,3,20413.325
661,732,1,19888.676
662,732,2,19274.256
663,732,3,20198.604
664,733,1,17544.954
665,733,2,18421.641
666,733,3,19105.404
667,734,1,16406.94
668,734,2,17618.367
669,734,3,17180.582
670,735,1,14589.886
671,735,2,14622.635
672,735,3,15385.833
673,736,1,23253.945
674,736,2,23854.084
675,736,3,24706.821
676,737,1,21304.455
677,737,2,21773.783
678,737,3,20773.789
679,738,1,16323.267
680,738,2,17570.112
681,738,3,16956.387
682,739,1,21303.589
683,739,2,20376.153
684,739,3,20964.276
685,740,5,19016.199
686,740,6,17591.244
687,740,7,17858.651
688,741,5,21516.701
689,741,6,20497.642
690,741,7,20779.227
691,742,1,20558.871
692,742,2,19897.422
693,742,3,23052.966
694,743,1,23025.895
695,743,2,21544.683
696,743,3,22583.828
697,744,1,24748.052
698,744,2,26115.852
699,744,3,26099.775
700,745,5,16939.465
701,745,6,16484.198
702,745,7,16449.81
703,746,5,24548.077
704,746,6,25247.844
705,746,7,24004.056
706,747,1,25080.834
707,747,2,26729.131
708,747,3,26772.085
709,749,5,26194.803
710,749,6,25205.842
711,749,7,23985.681
712,750,1,24062.114
713,750,2,24861.574
714,750,3,24962.436
715,751,1,20849.22
716,751,2,18632.699
717,751,3,20788.964
718,752,1,26299.924
719,752,2,24033.565
720,752,3,26033.52
721,753,1,19348.209
722,753,2,20899.615
723,753,3,19686.855
724,754,1,21318.583
725,754,2,22449.039
726,754,3,20766.244
727,755,1,22810.093
728,755,2,24270.186
729,755,3,24084.014
730,756,1,17995.25
731,756,3,17499.243
732,756,4,17155.59
733,757,1,21508.627
734,757,2,20585.518
735,757,3,18194.941
736,758,2,20312.564
737,758,3,23685.005
738,758,4,20018.347
739,759,2,21982.939
740,759,3,22698.263
741,759,4,23213.992
742,760,1,25710.996
743,760,2,25624.292
744,760,4,27278.621
745,761,5,17118.112
746,761,6,17384.286
747,761,7,17221.827
748,762,5,19646.872
749,762,7,19347.732
750,762,8,18991.347
751,763,1,20999.372
752,763,3,19861.35
753,763,4,19127.143
754,764,1,20265.08
755,764,2,20507.56
756,764,3,19804.025
757,765,5,19490.349
758,765,6,19594.299
759,765,8,20014.819
760,766,1,21649.977
761,766,2,23147.019
762,766,4,22092.49
763,767,2,21884.704
764,767,3,24894.546
765,767,4,25221.393
766,768,1,22369.026
767,768,3,19845.517
768,768,4,22035.497
769,769,1,22936.19
770,769,2,22887.508
771,769,4,23170.755
772,770,1,19508.694
773,770,2,18146.879
774,770,3,22099.256
775,771,2,15786.347
776,771,3,15369.043
777,771,4,15393.74
778,898,4,19838.881
779,898,2,19019.55
780,898,1,20293.371
781,899,3,19134.897
782,899,2,19297.145
783,899,1,19039.307
784,900,4,24312.906
785,900,2,22039.178
786,900,1,22015.944
787,901,3,19227.029
788,901,2,19996.044
789,901,1,19162.371
790,902,3,16302.05
791,902,2,16786.14
792,902,1,16660.284
793,903,3,25520.118
794,903,2,24229.775
795,903,1,24610.844
796,904,3,19122.034
797,904,2,19885.92
798,904,1,19578.178
799,905,3,27784.995
800,905,2,24019.44
801,905,1,24046.05
802,906,3,18184.977
803,906,2,18272.384
804,906,1,17828.873
805,907,3,15086.702
806,907,2,15167.298
807,907,1,15862.262
808,908,3,20468.075
809,908,2,19476.867
810,908,1,19645.398
811,909,3,23677.51
812,909,2,22959.371
813,909,1,24265.714
814,910,3,19737.204
815,910,2,20621.179
816,910,1,20240.228
817,911,3,19962.105
818,911,2,20462.75
819,911,1,19867.679
820,912,3,17132.599
821,912,2,18170.792
822,912,1,17024.464
823,913,3,19597.569
824,913,2,19615.507
825,913,1,22413.157
826,914,3,21422.237
827,914,2,20311.596
828,914,1,20250.281
